specification_type,current_accuracy_mean,current_accuracy_std,current_accuracy_count,std_ratio_mean,std_ratio_std,std_ratio_count,Glass_delta_mean,Glass_delta_std,Glass_delta_count,human_std_mean,human_std_std,human_std_count,correlation_mean,correlation_std,correlation_count,total_observations
temperature_zero,0.7523,0.0931,160,0.6151,0.2264,163,0.3482,0.3924,163,0.04,0.0133,163,0.23160767941244248,0.17060694125373282,163,163
include_reasoning_temperature_zero,0.7509,0.0941,160,0.6683,0.2204,163,0.3486,0.3809,163,0.04,0.0133,163,0.23025223624552713,0.166546866974265,163,163
with_reasoning,0.7477,0.0945,160,0.669,0.2131,163,0.3599,0.3805,163,0.04,0.0133,163,0.2155592097713584,0.170644229968191,163,163
gemini,0.74,0.0934,160,0.6848,0.2361,163,0.4425,0.3515,163,0.04,0.0133,163,0.2064816596515492,0.15589943776994142,163,163
persona_summary,0.7508,0.0931,160,0.6228,0.2166,163,0.3381,0.389,163,0.04,0.0133,163,0.20484278415411886,0.16109277751843737,163,163
deepseek,0.7438,0.0871,160,0.7335,0.1965,163,0.365,0.3382,163,0.04,0.0133,163,0.20030565606052655,0.17069957682873926,163,163
full_persona_without_reasoning,0.7483,0.0904,160,0.6337,0.2177,163,0.3535,0.3907,163,0.04,0.0133,163,0.196639750887326,0.18429863404355376,163,163
persona_summary_include_reasoning,0.7453,0.0969,160,0.6412,0.232,163,0.3712,0.383,163,0.04,0.0133,163,0.19595506295882298,0.16181230125056975,163,163
persona_summary_include_reasoning_temperature_zero,0.7464,0.0956,160,0.6373,0.2366,163,0.3688,0.3837,163,0.04,0.0133,163,0.19497907318503527,0.16261798113376036,163,163
GPT5,0.738,0.0995,160,0.6332,0.2369,163,0.4677,0.4276,163,0.04,0.0133,163,0.19304155041292093,0.19525711881354016,163,163
persona_summary_temperature_zero,0.7487,0.0949,160,0.603,0.228,163,0.3288,0.3926,163,0.04,0.0133,163,0.179276186695918,0.17398643336740977,163,163
demographics_only_temperature_zero,0.7485,0.0916,160,0.5573,0.2118,163,0.3373,0.3746,163,0.04,0.0133,163,0.14691345367717862,0.15731207560442975,163,163
demographics_only,0.7464,0.0907,160,0.5753,0.2039,163,0.3468,0.3747,163,0.04,0.0133,163,0.14498623225253385,0.15650652043569357,163,163
empty_persona,0.7338,0.0976,160,0.4458,0.2388,163,0.4566,0.4112,163,0.04,0.0133,163,0.08030536885350865,0.11932002198277869,163,163
empty_persona_temperature_zero,0.7364,0.0915,160,0.3765,0.2397,163,0.446,0.3835,163,0.04,0.0133,163,0.047806334579392755,0.11296413939078179,163,163
centaur_empty_persona,0.6874,0.1108,159,0.3809,0.4291,162,0.7736,0.4797,162,0.0406,0.0143,162,0.019508121641442208,0.08816523533192512,161,163
random_benchmark,0.629,0.0612,160,1.139,0.4621,163,0.6136,0.5416,163,0.04,0.0133,163,0.0006169089156594367,0.03488500291899275,163,163
