fit_metric,improvement_metric,pearson_r,pearson_p,spearman_r,spearman_p,n_samples,abs_pearson_r
fit_adj_r2,correlation_improvement,0.6274306803343235,2.1918245697162427e-10,0.5873389026489232,5.3295755861789055e-09,83,0.6274306803343235
fit_adj_r2,standardized_accuracy_improvement,0.6081503062042586,1.0749962931856838e-09,0.5134545149238067,6.910972875269783e-07,83,0.6081503062042586
fit_r2,correlation_improvement,0.5790702657400646,9.762149672500554e-09,0.5724360858066412,1.567558385089113e-08,83,0.5790702657400646
fit_r2,standardized_accuracy_improvement,0.5703626528435368,1.8137476653095184e-08,0.5004827673061585,1.4492524185442994e-06,83,0.5703626528435368
fit_f_stat,correlation_improvement,0.5698851867854876,1.8754429409288677e-08,0.5663280298895932,2.402196770068889e-08,83,0.5698851867854876
fit_adj_r2,accuracy_improvement,0.46846974348300363,7.954506975347229e-06,0.4823475085009025,3.883161176039259e-06,83,0.46846974348300363
fit_f_stat,standardized_accuracy_improvement,0.4369201543524009,3.6319192974982066e-05,0.4805423785735275,4.270383904300328e-06,83,0.4369201543524009
fit_mse,standardized_accuracy_improvement,-0.4044742311647864,0.000149163440884693,-0.26281432349607486,0.01637713012172469,83,0.4044742311647864
fit_mse,accuracy_improvement,-0.39931178860541355,0.00018434610454176855,-0.260736325091306,0.017278195959214246,83,0.39931178860541355
fit_residual_std,correlation_improvement,-0.3910935352691862,0.0002564401634979722,-0.335754166491751,0.0019151443584067842,83,0.3910935352691862
fit_rmse,correlation_improvement,-0.3910935352691861,0.00025644016349797837,-0.335754166491751,0.0019151443584067842,83,0.3910935352691861
fit_r2,accuracy_improvement,0.38732457375037543,0.00029750277875905014,0.45627807396834724,1.4562292688948885e-05,83,0.38732457375037543
fit_residual_std,standardized_accuracy_improvement,-0.38547700042325994,0.00031976520353143114,-0.26281432349607486,0.01637713012172469,83,0.38547700042325994
fit_rmse,standardized_accuracy_improvement,-0.3854770004232599,0.00031976520353143114,-0.26281432349607486,0.01637713012172469,83,0.3854770004232599
fit_mse,correlation_improvement,-0.3832074379133707,0.0003492035248359252,-0.335754166491751,0.0019151443584067842,83,0.3832074379133707
fit_rmse,accuracy_improvement,-0.3355409081823837,0.0019287375132534769,-0.260736325091306,0.017278195959214246,83,0.3355409081823837
fit_residual_std,accuracy_improvement,-0.3355409081823837,0.0019287375132534769,-0.260736325091306,0.017278195959214246,83,0.3355409081823837
fit_f_stat,accuracy_improvement,0.3078687063404584,0.004634494503982136,0.4625960287141597,1.067555648131029e-05,83,0.3078687063404584
fit_f_pvalue,standardized_accuracy_improvement,-0.23348032783336983,0.03364483654580127,-0.42918023357233287,5.154856683155011e-05,83,0.23348032783336983
fit_f_pvalue,accuracy_improvement,-0.16606587355259375,0.1335038200035323,-0.4026814706032195,0.00016060952307151105,83,0.16606587355259375
fit_f_pvalue,correlation_improvement,-0.1549206174154902,0.16197857205677083,-0.4660196876463286,8.999085026283257e-06,83,0.1549206174154902
fit_n_samples,standardized_accuracy_improvement,-0.05989941415458094,0.5906343712860198,-0.03847489530687021,0.7298425564043349,83,0.05989941415458094
fit_n_significant_coefs,standardized_accuracy_improvement,0.039556080998818625,0.7225545594227111,0.1724411205905182,0.11902228573507367,83,0.039556080998818625
fit_n_samples,correlation_improvement,0.03427601947368074,0.7583684309723827,-0.02173520025845152,0.845363939206397,83,0.03427601947368074
fit_n_samples,accuracy_improvement,0.031628272779949285,0.7765266001334863,0.011839241734559842,0.9154010198252344,83,0.031628272779949285
fit_n_significant_coefs,accuracy_improvement,0.028720794895730557,0.7966046215359754,0.18858310988201724,0.08775251299052905,83,0.028720794895730557
fit_n_significant_coefs,correlation_improvement,0.023610874299295332,0.8322064254141346,0.2097194222310689,0.05705641146874285,83,0.023610874299295332
fit_n_features,correlation_improvement,,,,,83,
fit_n_features,accuracy_improvement,,,,,83,
fit_n_features,standardized_accuracy_improvement,,,,,83,
